"","Term","Frequency","DocFreq"
"1","ʺ",2,1
"2","ʻ",1,1
"3","_",1,1
"4","__",58,29
"5","___",59,30
"6","___f",1,1
"7","___u",3,3
"8","_b",1,1
"9","_ftnref35",1,1
"10","_top",1,1
"11","0",707,265
"12","00",3587,1008
"13","000",1744,627
"14","0000",8,7
"15","0000002",3,1
"16","0000003",2,1
"17","0000006",1,1
"18","0000007",1,1
"19","0000009",3,1
"20","000001",1,1
"21","000002",3,3
"22","000003",7,2
"23","000004",2,2
"24","000007",2,2
"25","000008",6,4
"26","000009",3,2
"27","0000097",1,1
"28","00001",24,5
"29","000010",1,1
"30","000011",1,1
"31","000013",1,1
"32","000014",1,1
"33","000016",3,2
"34","000017",3,3
"35","000018",2,2
"36","00002",5,5
"37","000020",1,1
"38","000022",1,1
"39","0000225",2,1
"40","000023",3,2
"41","000026",2,1
"42","000027",1,1
"43","000028",1,1
"44","000029",1,1
"45","00003",6,6
"46","000030",1,1
"47","000033",2,2
"48","000034",2,2
"49","0000372",1,1
"50","0000378",1,1
"51","000038",4,1
"52","00004",2,2
"53","000040",2,2
"54","000042",1,1
"55","000045",1,1
"56","000047",1,1
"57","000048",2,2
"58","000049",1,1
"59","00005",3,2
"60","000050",2,2
"61","000051",1,1
"62","000052",2,1
"63","000053",2,1
"64","000054",1,1
"65","000056",1,1
"66","000057",2,1
"67","00006",7,7
"68","000060",1,1
"69","000063",1,1
"70","0000635",1,1
"71","000065",1,1
"72","000066",1,1
"73","000069",1,1
"74","00007",2,2
"75","000073",1,1
"76","000075",3,2
"77","00008",5,3
"78","000081",1,1
"79","00008182",1,1
"80","000083",1,1
"81","000086",1,1
"82","000087",5,1
"83","000088",1,1
"84","000089",2,1
"85","00009",3,3
"86","000094",3,1
"87","000099",2,1
"88","0001",21,10
"89","00010",4,4
"90","000100",2,1
"91","000103",4,4
"92","000104",1,1
"93","000105",5,1
"94","000106",2,2
"95","000107",2,1
"96","00011",6,6
"97","000110",1,1
"98","000112",1,1
"99","000113",1,1
"100","000115",2,2
"101","000117",1,1
"102","00012",3,3
"103","000125",1,1
"104","000126",2,1
"105","000128",1,1
"106","00013",1,1
"107","000136",1,1
"108","000137",1,1
"109","000139",1,1
"110","00014",16,9
"111","000141",1,1
"112","000143",1,1
"113","000146",1,1
"114","00015",1,1
"115","0001527",2,1
"116","0001541",1,1
"117","00016",1,1
"118","000161",1,1
"119","000165",2,2
"120","000166",2,1
"121","00017",1,1
"122","000174",2,1
"123","000177",1,1
"124","000182",1,1
"125","000183",2,1
"126","000188",2,1
"127","00019",5,5
"128","000193",5,3
"129","000194",4,1
"130","000195",3,2
"131","000196",1,1
"132","000197",2,1
"133","000198",1,1
"134","0002",6,4
"135","00020",4,4
"136","000203",2,1
"137","000205",2,1
"138","000207",5,1
"139","000208",10,1
"140","00021",9,8
"141","00022",2,2
"142","000223",1,1
"143","000229",1,1
"144","00023",4,4
"145","000235",3,1
"146","000237",2,1
"147","00023739",1,1
"148","00023748",1,1
"149","000238",3,2
"150","00024",3,3
"151","000249",1,1
"152","00025",4,4
"153","000254",1,1
"154","00026",3,2
"155","000265",1,1
"156","00027",3,3
"157","000270",2,1
"158","000272",1,1
"159","000277",2,1
"160","00028",4,4
"161","000282",1,1
"162","000288",1,1
"163","000289",4,1
"164","00029",6,5
"165","000290",3,1
"166","000292",2,1
"167","000298",1,1
"168","0003",4,4
"169","00030",5,5
"170","000304",1,1
"171","000305",1,1
"172","00031",5,4
"173","000314",1,1
"174","00032",4,4
"175","000321",1,1
"176","000323",1,1
"177","000325",2,1
"178","000326",1,1
"179","000328",1,1
"180","000329",3,2
"181","00033",2,2
"182","000332",1,1
"183","000339",3,2
"184","00034",2,2
"185","000344",1,1
"186","000346",1,1
"187","000347",1,1
"188","000348",1,1
"189","000349",1,1
"190","00035",2,2
"191","00036",4,4
"192","000368",1,1
"193","00037",8,8
"194","000372",1,1
"195","000373",1,1
"196","000374",1,1
"197","000377",2,2
"198","000378",6,1
"199","000379",6,1
"200","00038",1,1
"201","000380",1,1
"202","000385",1,1
"203","000386",1,1
"204","00039",2,2
"205","000390",1,1
"206","000393",2,1
"207","000396",2,1
"208","000397",1,1
"209","0003999",1,1
"210","0004",6,6
"211","00040",5,5
"212","000400",4,2
"213","000402",2,1
"214","000405",2,1
"215","00041",2,2
"216","000412",1,1
"217","000413",1,1
"218","000415",2,1
"219","00042",3,3
"220","000425",4,1
"221","000426",2,1
"222","000427",2,1
"223","00043",1,1
"224","000433",2,1
"225","000434",2,2
"226","000438",1,1
"227","00044",3,3
"228","000448",3,1
"229","00044x",1,1
"230","00045",3,3
"231","000453",1,1
"232","000457",3,1
"233","00046",1,1
"234","00047",1,1
"235","000470",1,1
"236","000476",1,1
"237","00048",3,3
"238","00049",1,1
"239","000490",1,1
"240","000492",1,1
"241","0005",6,4
"242","00050",1,1
"243","00051",2,2
"244","000512",1,1
"245","00052",2,2
"246","000522",1,1
"247","000528",1,1
"248","00053",3,2
"249","000536",2,1
"250","000537",1,1
"251","000538",1,1
"252","00054",6,4
"253","000541",1,1
"254","000542",1,1
"255","00055",8,6
"256","000550",1,1
"257","00056",2,2
"258","000561",1,1
"259","000562",1,1
"260","000564",2,1
"261","000565",3,1
"262","00057",4,4
"263","000573",2,1
"264","000574",2,1
"265","00058",6,5
"266","000583",1,1
"267","000587",5,1
"268","00059",2,2
"269","0006",4,3
"270","00060",1,1
"271","00061",2,2
"272","000613",1,1
"273","000614",1,1
"274","000617",2,1
"275","00062358",1,1
"276","000626",2,1
"277","00063",4,4
"278","00064",3,3
"279","000649",1,1
"280","00065",3,3
