"","all_words","Freq"
"1","ʺ",2
"2","ʻ",1
"3","_",1
"4","__",58
"5","___",59
"6","___f",1
"7","___u",3
"8","_b",1
"9","_ftnref35",1
"10","_top",1
"11","0",707
"12","00",3587
"13","000",1744
"14","0000",8
"15","0000002",3
"16","0000003",2
"17","0000006",1
"18","0000007",1
"19","0000009",3
"20","000001",1
"21","000002",3
"22","000003",7
"23","000004",2
"24","000007",2
"25","000008",6
"26","000009",3
"27","0000097",1
"28","00001",24
"29","000010",1
"30","000011",1
"31","000013",1
"32","000014",1
"33","000016",3
"34","000017",3
"35","000018",2
"36","00002",5
"37","000020",1
"38","000022",1
"39","0000225",2
"40","000023",3
"41","000026",2
"42","000027",1
"43","000028",1
"44","000029",1
"45","00003",6
"46","000030",1
"47","000033",2
"48","000034",2
"49","0000372",1
"50","0000378",1
"51","000038",4
"52","00004",2
"53","000040",2
"54","000042",1
"55","000045",1
"56","000047",1
"57","000048",2
"58","000049",1
"59","00005",3
"60","000050",2
"61","000051",1
"62","000052",2
"63","000053",2
"64","000054",1
"65","000056",1
"66","000057",2
"67","00006",7
"68","000060",1
"69","000063",1
"70","0000635",1
"71","000065",1
"72","000066",1
"73","000069",1
"74","00007",2
"75","000073",1
"76","000075",3
"77","00008",5
"78","000081",1
"79","00008182",1
"80","000083",1
"81","000086",1
"82","000087",5
"83","000088",1
"84","000089",2
"85","00009",3
"86","000094",3
"87","000099",2
"88","0001",21
"89","00010",4
"90","000100",2
"91","000103",4
"92","000104",1
"93","000105",5
"94","000106",2
"95","000107",2
"96","00011",6
"97","000110",1
"98","000112",1
"99","000113",1
"100","000115",2
"101","000117",1
"102","00012",3
"103","000125",1
"104","000126",2
"105","000128",1
"106","00013",1
"107","000136",1
"108","000137",1
"109","000139",1
"110","00014",16
"111","000141",1
"112","000143",1
"113","000146",1
"114","00015",1
"115","0001527",2
"116","0001541",1
"117","00016",1
"118","000161",1
"119","000165",2
"120","000166",2
"121","00017",1
"122","000174",2
"123","000177",1
"124","000182",1
"125","000183",2
"126","000188",2
"127","00019",5
"128","000193",5
"129","000194",4
"130","000195",3
"131","000196",1
"132","000197",2
"133","000198",1
"134","0002",6
"135","00020",4
"136","000203",2
"137","000205",2
"138","000207",5
"139","000208",10
"140","00021",9
"141","00022",2
"142","000223",1
"143","000229",1
"144","00023",4
"145","000235",3
"146","000237",2
"147","00023739",1
"148","00023748",1
"149","000238",3
"150","00024",3
"151","000249",1
"152","00025",4
"153","000254",1
"154","00026",3
"155","000265",1
"156","00027",3
"157","000270",2
"158","000272",1
"159","000277",2
"160","00028",4
"161","000282",1
"162","000288",1
"163","000289",4
"164","00029",6
"165","000290",3
"166","000292",2
"167","000298",1
"168","0003",4
"169","00030",5
"170","000304",1
"171","000305",1
"172","00031",5
"173","000314",1
"174","00032",4
"175","000321",1
"176","000323",1
"177","000325",2
"178","000326",1
"179","000328",1
"180","000329",3
"181","00033",2
"182","000332",1
"183","000339",3
"184","00034",2
"185","000344",1
"186","000346",1
"187","000347",1
"188","000348",1
"189","000349",1
"190","00035",2
"191","00036",4
"192","000368",1
"193","00037",8
"194","000372",1
"195","000373",1
"196","000374",1
"197","000377",2
"198","000378",6
"199","000379",6
"200","00038",1
"201","000380",1
"202","000385",1
"203","000386",1
"204","00039",2
"205","000390",1
"206","000393",2
"207","000396",2
"208","000397",1
"209","0003999",1
"210","0004",6
"211","00040",5
"212","000400",4
"213","000402",2
"214","000405",2
"215","00041",2
"216","000412",1
"217","000413",1
"218","000415",2
"219","00042",3
"220","000425",4
"221","000426",2
"222","000427",2
"223","00043",1
"224","000433",2
"225","000434",2
"226","000438",1
"227","00044",3
"228","000448",3
"229","00044x",1
"230","00045",3
"231","000453",1
"232","000457",3
"233","00046",1
"234","00047",1
"235","000470",1
"236","000476",1
"237","00048",3
"238","00049",1
"239","000490",1
"240","000492",1
"241","0005",6
"242","00050",1
"243","00051",2
"244","000512",1
"245","00052",2
"246","000522",1
"247","000528",1
"248","00053",3
"249","000536",2
"250","000537",1
"251","000538",1
"252","00054",6
"253","000541",1
"254","000542",1
"255","00055",8
"256","000550",1
"257","00056",2
"258","000561",1
"259","000562",1
"260","000564",2
"261","000565",3
"262","00057",4
"263","000573",2
"264","000574",2
"265","00058",6
"266","000583",1
"267","000587",5
"268","00059",2
"269","0006",4
"270","00060",1
"271","00061",2
"272","000613",1
"273","000614",1
"274","000617",2
"275","00062358",1
"276","000626",2
"277","00063",4
"278","00064",3
"279","000649",1
"280","00065",3
"281","000656",1
"282","00066",7
"283","000662",1
"284","000663",1
"285","000664",2
"286","00067",3
"287","00068",3
"288","000688",2
"289","00069",4
"290","000690",1
"291","0007",4
"292","00070",4
"293","00071",5
"294","00072",2
"295","00073",4
"296","00074",9
"297","000741",1
"298","00075",1
"299","000760",1
"300","000761",1
"301","000762",1
"302","000764",1
"303","00077",1
"304","00078",1
"305","000787",1
"306","00079",6
"307","000790",2
"308","000791",2
"309","0008",2
"310","000801",1
"311","000803",1
"312","00081",5
"313","00082",3
"314","00083",2
"315","000833",1
"316","000836",1
"317","00084",1
"318","00085",5
"319","00086",3
"320","00087",2
"321","000871",1
"322","000873",1
"323","000878",2
"324","00088",7
"325","000880",1
"326","000887",1
"327","00089",4
"328","000897",2
"329","0009",3
"330","00090",4
"331","000905",1
"332","00091",3
"333","000915",1
"334","00092",8
"335","000927",1
"336","00093",3
"337","000932",2
"338","000934",1
"339","000935",1
"340","000936",2
"341","000937",1
"342","00094",3
"343","000948",2
"344","00095",4
"345","000951",1
"346","000959",3
"347","00096",1
"348","000961",1
"349","000962",1
"350","000963",1
"351","000965",1
"352","000966",1
"353","00097",2
"354","00099",2
"355","000994",1
"356","001",76
"357","0010",13
"358","001005",2
"359","001008",1
"360","001009",1
"361","00101",5
"362","00102",3
"363","001020",1
"364","00103",5
"365","00104",3
"366","00105",2
"367","00106",1
"368","00107",6
"369","00108",2
"370","00108x",1
"371","00109",4
"372","0011",7
"373","00110",2
"374","00111",2
"375","001114",1
"376","001115",4
"377","001120",2
"378","001123",1
"379","001124",3
"380","001126",2
"381","001127",1
"382","00113",4
"383","00114",5
"384","00115",7
"385","00116",4
"386","00117",6
"387","00118",4
"388","00119",4
"389","0012",5
"390","00120",4
"391","00121",2
"392","001211",1
"393","00122",3
"394","001229",1
"395","00123",2
"396","001230",1
"397","00124",3
"398","00125",3
"399","001253",1
"400","001254",1
"401","001258",1
"402","00126",5
"403","001263",1
"404","00127",4
"405","00128",7
"406","00129",9
"407","0012p",2
"408","0013",7
"409","00130",2
"410","00131",2
"411","001318",1
"412","00132",1
"413","001321",1
"414","001322",1
"415","001324",1
"416","00133",2
"417","00134",2
"418","00135",3
"419","00136",2
"420","001360",1
"421","001361",1
"422","001368",1
"423","001369",2
"424","00137",4
"425","001370",2
"426","00138",3
"427","00139",2
"428","0014",4
"429","00140",2
"430","001409",1
"431","00141",2
"432","001410",1
"433","00142",1
"434","00143",2
"435","00144",3
"436","00145",1
"437","00146",3
"438","00147",2
"439","001477",1
"440","00148",2
"441","00149",9
"442","0015",3
"443","00150",4
"444","00151",4
"445","00152",6
"446","00153",10
"447","001531",1
"448","00154",4
"449","00155",5
"450","00156",2
"451","00157",2
"452","00158",4
"453","0016",1
"454","00160",2
"455","00161",1
"456","00162",6
"457","00163",1
"458","001633",1
"459","001634",1
"460","001642",1
"461","00165",2
"462","00166",6
"463","001666",1
"464","00167",4
"465","001671",1
"466","001677",1
"467","001678",4
"468","001679",9
"469","00168",4
"470","001680",1
"471","00169",6
"472","001692",1
"473","0017",2
"474","00170",3
"475","001700",2
"476","001702",4
"477","001704",1
"478","00171",1
"479","001714",2
"480","001719",1
"481","00172",1
"482","001720",6
"483","001721",4
"484","001722",4
"485","001724",1
"486","001725",1
"487","00173",2
"488","00174",5
"489","00175",2
"490","00176",3
"491","00177",5
"492","00178",7
"493","00179",4
"494","0018",1
"495","00180",8
"496","001803",1
"497","001805",1
"498","00181",4
"499","00182",3
"500","00183",3
"501","00184",1
"502","00185",3
"503","001852",3
"504","001853",2
"505","001856",1
"506","00186",3
"507","001867",2
"508","001868",2
"509","00187",5
"510","001871",1
"511","001877",1
"512","001878",1
"513","00188",3
"514","001880",2
"515","00189",8
"516","0019",2
"517","00190",4
"518","001909",1
"519","00191",4
"520","001916",1
"521","00192",4
"522","001921",2
"523","001925",1
"524","00193",3
"525","00194",5
"526","001949",1
"527","00195",5
"528","00196",3
"529","00197",3
"530","00198",4
"531","00199",5
"532","001993",1
"533","001994",1
"534","001ec94ffe7f",1
"535","002",139
"536","0020",4
"537","00200",2
"538","00201",5
"539","00202",1
"540","00203",4
"541","00204",7
"542","00205",7
"543","00206",3
"544","002061",2
"545","00207",4
"546","002073",1
"547","002074",1
"548","002075",2
"549","002076",2
"550","002077",1
"551","002079",1
"552","00208",3
"553","002084",2
"554","002087",1
"555","002088",1
"556","002089",1
"557","00209",6
"558","002090",1
"559","0021",2
"560","00210",2
"561","002100",2
"562","002102",1
"563","00211",3
"564","002115",1
"565","00212",4
"566","00213",6
"567","002131",1
"568","00214",9
"569","002148",2
"570","00215",5
"571","00216",3
"572","00217",3
"573","00218",1
"574","00219",1
"575","002190",1
"576","002192",1
"577","0021e",1
"578","0022",9
"579","00220",4
"580","002208",1
"581","00221",4
"582","00222",3
"583","002227",1
"584","00223",6
"585","00224",6
"586","002240",4
"587","002241",3
"588","00225",4
"589","002255",1
"590","00226",2
"591","00227",3
"592","00228",3
"593","00229",12
"594","0022dflkjm",1
"595","0023",2
"596","00231",2
"597","00232",1
"598","00233",5
"599","00234",3
"600","002346",1
"601","002347",1
"602","002349",1
"603","00235",2
"604","002350",1
"605","002354",1
"606","00236",2
"607","00237",2
"608","002376",2
"609","002377",1
"610","002378",3
"611","002379",1
"612","00238",3
"613","002385",1
"614","0024",1
"615","00242",4
"616","002428",1
"617","002429",1
"618","00243",4
"619","00244",5
"620","002444",1
"621","00245",4
"622","00246",1
"623","002473",1
"624","002474",1
"625","00249",16
"626","002495",1
"627","002496",1
"628","0025",9
"629","00250",1
"630","002519",1
"631","00252",5
"632","002520",1
"633","00253",4
"634","00254",3
"635","002548",1
"636","002549",1
"637","00255",3
"638","00256",6
"639","002569",1
"640","00257",1
"641","002571",2
"642","00258",2
"643","00259",3
"644","002595",1
"645","002597",1
"646","0026",1
"647","00260",2
"648","00261",3
"649","002612",2
