"","all_words","Freq"
"1","ʺ",4
"2","ʻ",2
"3","_",2
"4","__",104
"5","___",118
"6","___f",2
"7","___u",6
"8","_b",2
"9","_ftnref35",2
"10","_top",2
"11","0",1360
"12","00",7118
"13","000",3300
"14","0000",16
"15","0000002",6
"16","0000003",4
"17","0000006",2
"18","0000007",2
"19","0000009",6
"20","000001",2
"21","000002",6
"22","000003",14
"23","000004",4
"24","000007",4
"25","000008",12
"26","000009",6
"27","0000097",2
"28","00001",48
"29","000010",2
"30","000011",2
"31","000013",2
"32","000014",2
"33","000016",6
"34","000017",6
"35","000018",4
"36","00002",10
"37","000020",2
"38","000022",2
"39","0000225",4
"40","000023",6
"41","000026",4
"42","000027",2
"43","000028",2
"44","000029",2
"45","00003",12
"46","000030",2
"47","000033",4
"48","000034",4
"49","0000372",2
"50","0000378",2
"51","000038",8
"52","00004",4
"53","000040",4
"54","000042",2
"55","000045",2
"56","000047",2
"57","000048",4
"58","000049",2
"59","00005",6
"60","000050",4
"61","000051",2
"62","000052",4
"63","000053",4
"64","000054",2
"65","000056",2
"66","000057",4
"67","00006",14
"68","000060",2
"69","000063",2
"70","0000635",2
"71","000065",2
"72","000066",2
"73","000069",2
"74","00007",4
"75","000073",2
"76","000075",6
"77","00008",10
"78","000081",2
"79","00008182",2
"80","000083",2
"81","000086",2
"82","000087",10
"83","000088",2
"84","000089",4
"85","00009",6
"86","000094",6
"87","000099",4
"88","0001",42
"89","00010",8
"90","000100",4
"91","000103",8
"92","000104",2
"93","000105",10
"94","000106",4
"95","000107",4
"96","00011",12
"97","000110",2
"98","000112",2
"99","000113",2
"100","000115",4
"101","000117",2
"102","00012",6
"103","000125",2
"104","000126",4
"105","000128",2
"106","00013",2
"107","000136",2
"108","000137",2
"109","000139",2
"110","00014",32
"111","000141",2
"112","000143",2
"113","000146",2
"114","00015",2
"115","0001527",4
"116","0001541",2
"117","00016",2
"118","000161",2
"119","000165",4
"120","000166",4
"121","00017",2
"122","000174",4
"123","000177",2
"124","000182",2
"125","000183",4
"126","000188",4
"127","00019",10
"128","000193",10
"129","000194",8
"130","000195",6
"131","000196",2
"132","000197",4
"133","000198",2
"134","0002",12
"135","00020",8
"136","000203",4
"137","000205",4
"138","000207",10
"139","000208",20
"140","00021",18
"141","00022",2
"142","000223",2
"143","000229",2
"144","00023",6
"145","000235",6
"146","000237",4
"147","00023739",2
"148","00023748",2
"149","000238",6
"150","00024",6
"151","000249",2
"152","00025",8
"153","000254",2
"154","00026",6
"155","000265",2
"156","00027",6
"157","000270",4
"158","000272",2
"159","000277",4
"160","00028",4
"161","000282",2
"162","000288",2
"163","000289",8
"164","00029",10
"165","000290",6
"166","000292",4
"167","000298",2
"168","0003",8
"169","00030",10
"170","000304",2
"171","000305",2
"172","00031",8
"173","000314",2
"174","00032",6
"175","000321",2
"176","000323",2
"177","000325",4
"178","000326",2
"179","000328",2
"180","000329",6
"181","00033",4
"182","000332",2
"183","000339",6
"184","00034",4
"185","000344",2
"186","000346",2
"187","000347",2
"188","000348",2
"189","000349",2
"190","00035",4
"191","00036",6
"192","000368",2
"193","00037",14
"194","000372",2
"195","000373",2
"196","000374",2
"197","000377",4
"198","000378",12
"199","000379",12
"200","00038",2
"201","000380",2
"202","000385",2
"203","000386",2
"204","00039",4
"205","000390",2
"206","000393",4
"207","000396",4
"208","000397",2
"209","0003999",2
"210","0004",12
"211","00040",8
"212","000400",8
"213","000402",4
"214","000405",4
"215","00041",2
"216","000412",2
"217","000413",2
"218","000415",4
"219","00042",4
"220","000425",8
"221","000426",4
"222","000427",4
"223","00043",2
"224","000433",4
"225","000434",4
"226","000438",2
"227","00044",6
"228","000448",6
"229","00044x",2
"230","00045",6
"231","000453",2
"232","000457",6
"233","00046",2
"234","00047",2
"235","000470",2
"236","000476",2
"237","00048",6
"238","00049",2
"239","000490",2
"240","000492",2
"241","0005",12
"242","00050",2
"243","00051",4
"244","000512",2
"245","00052",2
"246","000522",2
"247","000528",2
"248","00053",6
"249","000536",4
